app_name,user_name,rating,review,thumbs_up,date,casefolded_review
Duolingo,Ferdian dani prasetiya,5,sangat membantu pertahankan😁😁,0,2025-10-10,sangat membantu pertahankan😁😁
Duolingo,Lhyzz,5,Bagus bangett,0,2025-10-10,bagus bangett
Duolingo,Zahrani Maraqonita,2,"perbaiki duolingo saya! saat menyelesaikan pelajaran tidak ada suaranya, perbaiki SECEPATNYA!",0,2025-10-10,"perbaiki duolingo saya! saat menyelesaikan pelajaran tidak ada suaranya, perbaiki secepatnya!"
Duolingo,LEVI FAHLEVI,1,aplikasi untuk membantu belajar dengan unsur iklan judi online yang sangat mantap. mengajarkan kelebihan dari melakukan judi online melalui iklan yang ada dalam aplikasi,0,2025-10-10,aplikasi untuk membantu belajar dengan unsur iklan judi online yang sangat mantap. mengajarkan kelebihan dari melakukan judi online melalui iklan yang ada dalam aplikasi
Duolingo,Manggar eka Rahayu,5,menyenangkan dan mudah,0,2025-10-10,menyenangkan dan mudah
Duolingo,Helend Azira Rahman,5,karena aku jadi bisa bahasa inggris. n. a. n a. b.,0,2025-10-10,karena aku jadi bisa bahasa inggris. n. a. n a. b.
Duolingo,Joardi Silaban,5,bagus aplikasi nya,0,2025-10-10,bagus aplikasi nya
Duolingo,khansa,4,"keren dan aku jadi jago bahasa, tapi tolong bisa di jadiin bahasa Indonesia gak soalnya aku pengen belajar bahasa China tapi tulisan yang di suruh nya bahasa Inggris",0,2025-10-10,"keren dan aku jadi jago bahasa, tapi tolong bisa di jadiin bahasa indonesia gak soalnya aku pengen belajar bahasa china tapi tulisan yang di suruh nya bahasa inggris"
Duolingo,Abudazr Habsyi,5,cukup baik,0,2025-10-10,cukup baik
Duolingo,Mita ayu Lestari,5,saya sangat menyukai aplikasi ini,0,2025-10-10,saya sangat menyukai aplikasi ini
Duolingo,Lovey meyyy,5,sangat bermanfaat buat yang mau belajar bahasa,0,2025-10-10,sangat bermanfaat buat yang mau belajar bahasa
Duolingo,Ana Sari,5,seru banget,0,2025-10-10,seru banget
Duolingo,Widya Nadira,5,sangat seru jadi semangat belajar deh,0,2025-10-10,sangat seru jadi semangat belajar deh
Duolingo,Fitri ari Murti,5,aplikasi sungguh bagus dan saya pendapat kan limu,0,2025-10-10,aplikasi sungguh bagus dan saya pendapat kan limu
Duolingo,Dwi Nurma,5,bagus bangettt ak jadi bisa ngerjain tugas tanpa pakai bukuu👍💪,0,2025-10-10,bagus bangettt ak jadi bisa ngerjain tugas tanpa pakai bukuu👍💪
Duolingo,Vernonvinix Tila Animatrix D'Lavega HelvetiasZ,5,"Seru!, aplikasi ini membuat saya bisa berbahasa China🗿😭💀😏",0,2025-10-10,"seru!, aplikasi ini membuat saya bisa berbahasa china🗿😭💀😏"
Duolingo,keisha naufal,5,"wow keren banget bisa belajar bahasa mendengar dan berbicara menulis, itu sa ngat keren aku harap bisa belajar bahasa Jepang dengan mudah😊",0,2025-10-10,"wow keren banget bisa belajar bahasa mendengar dan berbicara menulis, itu sa ngat keren aku harap bisa belajar bahasa jepang dengan mudah😊"
Duolingo,Nesya Nesya,5,bagus untuk pendidikan atau sekolah,0,2025-10-10,bagus untuk pendidikan atau sekolah
Duolingo,Huda Maulidi,5,bagus dan membuat cepat belajar bahasa Inggris,0,2025-10-10,bagus dan membuat cepat belajar bahasa inggris
Duolingo,Dary Azzalfa,5,aku jadi bisa belajar bahasa asing tanpa membayar,0,2025-10-10,aku jadi bisa belajar bahasa asing tanpa membayar
Duolingo,Saferius Denil,5,bagus,0,2025-10-10,bagus
Duolingo,Ulju Man,5,bisa membantu anda untuk belajar bahasa dan bisa mengetahui banyak hal,0,2025-10-10,bisa membantu anda untuk belajar bahasa dan bisa mengetahui banyak hal
Duolingo,Indah Ika sari,5,jadi saya sudah mulai bahasa Spanyol,0,2025-10-10,jadi saya sudah mulai bahasa spanyol
Duolingo,Dimas Febrian,5,aplikasi nya bagus banget membantu banget buat belajar bahasa,0,2025-10-10,aplikasi nya bagus banget membantu banget buat belajar bahasa
Duolingo,La Ode Muhammad Valen Febryan,5,aplikasinya bagus saya bisa belajar banyak bahasa dan ada juga kursus musik dan matematika Bintang 5 lah untuk duolingo,0,2025-10-10,aplikasinya bagus saya bisa belajar banyak bahasa dan ada juga kursus musik dan matematika bintang 5 lah untuk duolingo
Duolingo,Allisa Husna,5,kita bisa belajar bersama disini dengan asyik seru dan mudah memahaminyaaaa saya sangattt suka dengan aplikasi ini ayooo yang mau belajarrr disini aja,0,2025-10-10,kita bisa belajar bersama disini dengan asyik seru dan mudah memahaminyaaaa saya sangattt suka dengan aplikasi ini ayooo yang mau belajarrr disini aja
Duolingo,Vespera Nyx,5,mksy bantuannya duo :) lanjut setelah target pertama ak mw bljr bi arab :D,0,2025-10-10,mksy bantuannya duo :) lanjut setelah target pertama ak mw bljr bi arab :d
Duolingo,Ishak Ishak,5,mudah di pahami,0,2025-10-10,mudah di pahami
Duolingo,Muhammad Aaron Adinata Kusumawanto,5,duolingo menyenangkan,0,2025-10-10,duolingo menyenangkan
Duolingo,Keyza zahra,5,ini bisa untuk menglatih anak belajar,0,2025-10-10,ini bisa untuk menglatih anak belajar
Duolingo,Lala,4,mana kelas caturnya?,0,2025-10-10,mana kelas caturnya?
Duolingo,Farah Agnia,5,waww ini aplikasi baguss aku suka belajar disini dan seruuu,0,2025-10-10,waww ini aplikasi baguss aku suka belajar disini dan seruuu
Duolingo,Erlangga Satria,2,seru dan bisa bikin saya lancar bahasa Inggris seperti hari monday tuesday Wednesday tursday Saturday Sunday saya suka duolingo,0,2025-10-10,seru dan bisa bikin saya lancar bahasa inggris seperti hari monday tuesday wednesday tursday saturday sunday saya suka duolingo
Duolingo,Naya Inayah,5,puas bgt belajar di sini keren belajar sambil bermain,0,2025-10-10,puas bgt belajar di sini keren belajar sambil bermain
Duolingo,Etty Suharti,5,aku baru belajar 2 hari dan langsung tau bahasa sehari hari!!,0,2025-10-10,aku baru belajar 2 hari dan langsung tau bahasa sehari hari!!
Duolingo,Annabella Tumarar,4,sangat baik dan sangat membantu tapi yang paling bikin sebel kalo pas lagi belajar harus ngisi energi,0,2025-10-10,sangat baik dan sangat membantu tapi yang paling bikin sebel kalo pas lagi belajar harus ngisi energi
