app_name,user_name,rating,review,thumbs_up,date,casefolded_review
Duolingo,Helend Azira Rahman,5,karena aku jadi bisa bahasa inggris. n. a. n a. b.,0,10/10/2025,keren aku jadi bisa bahasa inggris. n. a. n a. b.
Duolingo,Joardi Silaban,5,bagus aplikasi nya,0,10/10/2025,bagus aplikasinya
Duolingo,khansa,4,"keren dan aku jadi jago bahasa, tapi tolong bisa di jadiin bahasa Indonesia gak soalnya aku pengen belajar bahasa China tapi tulisan yang di suruh nya bahasa Inggris",0,10/10/2025,"keren dan aku jadi jago bahasa, tapi tolong bisa di jadiin bahasa indonesia gak soalnya aku pengen belajar bahasa china tapi tulisan yang di suruhnya bahasa inggris"
Duolingo,Abudazr Habsyi,5,cukup baik,0,10/10/2025,cukup baik
Duolingo,Mita ayu Lestari,5,saya sangat menyukai aplikasi ini,0,10/10/2025,saya sangat menyukai aplikasi ini
Duolingo,Lovey meyyy,5,sangat bermanfaat buat yang mau belajar bahasa,0,10/10/2025,sangat bermanfaat buat yang mau belajar bahasa
Duolingo,Ana Sari,5,seru banget,0,10/10/2025,seru banget
Duolingo,Widya Nadira,5,sangat seru jadi semangat belajar deh,0,10/10/2025,sangat seru jadi semangat belajar deh
Duolingo,Fitri ari Murti,5,aplikasi sungguh bagus dan saya pendapat kan limu,0,10/10/2025,aplikasi sungguh bagus dan saya pendapatkan limu
Duolingo,Dwi Nurma,5,bagus bangettt ak jadi bisa ngerjain tugas tanpa pakai bukuu👍💪,0,10/10/2025,bagus bangettt ak jadi bisa ngerjain tugas tanpa pakai bukuu👍💪
Duolingo,Vernonvinix Tila Animatrix D'Lavega HelvetiasZ,5,"Seru!, aplikasi ini membuat saya bisa berbahasa China🗿😭💀😏",0,10/10/2025,"seru!, aplikasi ini membuat saya bisa berbahasa china🗿😭💀😏"
Duolingo,keisha naufal,5,"wow keren banget bisa belajar bahasa mendengar dan berbicara menulis, itu sa ngat keren aku harap bisa belajar bahasa Jepang dengan mudah😊",0,10/10/2025,"wow keren banget bisa belajar bahasa mendengar dan berbicara menulis, itu sangat keren aku harap bisa belajar bahasa jepang dengan mudah😊"
Duolingo,Nesya Nesya,5,bagus untuk pendidikan atau sekolah,0,10/10/2025,bagus untuk pendidikan atau sekolah
Duolingo,Huda Maulidi,5,bagus dan membuat cepat belajar bahasa Inggris,0,10/10/2025,bagus dan membuat cepat belajar bahasa inggris
Duolingo,Dary Azzalfa,5,aku jadi bisa belajar bahasa asing tanpa membayar,0,10/10/2025,aku jadi bisa belajar bahasa asing tanpa membayar
Duolingo,Saferius Denil,5,bagus,0,10/10/2025,bagus
Duolingo,Ulju Man,5,bisa membantu anda untuk belajar bahasa dan bisa mengetahui banyak hal,0,10/10/2025,bisa membantu anda untuk belajar bahasa dan bisa mengetahui banyak hal
Duolingo,Indah Ika sari,5,jadi saya sudah mulai bahasa Spanyol,0,10/10/2025,jadi saya sudah mulai bahasa spanyol
Duolingo,Dimas Febrian,5,aplikasi nya bagus banget membantu banget buat belajar bahasa,0,10/10/2025,aplikasinya bagus banget membantu banget buat belajar bahasa
Duolingo,La Ode Muhammad Valen Febryan,5,aplikasinya bagus saya bisa belajar banyak bahasa dan ada juga kursus musik dan matematika Bintang 5 lah untuk duolingo,0,10/10/2025,aplikasinya bagus saya bisa belajar banyak bahasa dan ada juga kursus musik dan matematika bintang 5 lah untuk duolingo
Duolingo,Allisa Husna,5,kita bisa belajar bersama disini dengan asyik seru dan mudah memahaminyaaaa saya sangattt suka dengan aplikasi ini ayooo yang mau belajarrr disini aja,0,10/10/2025,kita bisa belajar bersama disini dengan asyik seru dan mudah memahaminyaaaa saya sangattt suka dengan aplikasi ini ayooo yang mau belajarrr disini aja
Duolingo,Vespera Nyx,5,mksy bantuannya duo :) lanjut setelah target pertama ak mw bljr bi arab :D,0,10/10/2025,mksy bantuannya duo :) lanjut setelah target pertama ak mw bljr bi arab :d
Duolingo,Ishak Ishak,5,mudah di pahami,0,10/10/2025,mudah di pahami
Duolingo,Muhammad Aaron Adinata Kusumawanto,5,duolingo menyenangkan,0,10/10/2025,duolingo menyenangkan
Duolingo,Keyza zahra,5,ini bisa untuk menglatih anak belajar,0,10/10/2025,ini bisa untuk menglatih anak belajar
Duolingo,Lala,4,mana kelas caturnya?,0,10/10/2025,mana kelas caturnya?
Duolingo,Farah Agnia,5,waww ini aplikasi baguss aku suka belajar disini dan seruuu,0,10/10/2025,waww ini aplikasi baguss aku suka belajar disini dan seruuu
Duolingo,Erlangga Satria,2,seru dan bisa bikin saya lancar bahasa Inggris seperti hari monday tuesday Wednesday tursday Saturday Sunday saya suka duolingo,0,10/10/2025,seru dan bisa bikin saya lancar bahasa inggris seperti hari monday tuesday wednesday tursday saturday sunday saya suka duolingo
Duolingo,Naya Inayah,5,puas bgt belajar di sini keren belajar sambil bermain,0,10/10/2025,puas bgt belajar di sini keren belajar sambil bermain
Duolingo,Etty Suharti,5,aku baru belajar 2 hari dan langsung tau bahasa sehari hari!!,0,10/10/2025,aku baru belajar 2 hari dan langsung tau bahasa sehari hari!!
Duolingo,Annabella Tumarar,4,sangat baik dan sangat membantu tapi yang paling bikin sebel kalo pas lagi belajar harus ngisi energi,0,10/10/2025,sangat baik dan sangat membantu tapi yang paling bikin sebel kalo pas lagi belajar harus ngisi energi
Duolingo,Melisa Jesline,4,bagus tapi agak susah,0,10/10/2025,bagus tapi agak susah
Duolingo,Lily Lily20,4,bagus aku suka,0,10/10/2025,bagus aku suka
Duolingo,Mikel Abrar,5,aplikasi nya aku suka dan bisa aku semangat,0,10/10/2025,aplikasinya aku suka dan bisa aku semangat
Duolingo,July Angelyn,1,game ini sangat seru dan membuat saya di sekolah peringkat dua,0,10/10/2025,game ini sangat seru dan membuat saya di sekolah peringkat dua
Duolingo,Seli Selita,5,"Bagus bisa belajar sesuai apa yg kita mau belajar seperti bahasa inggris , korea dll.",0,10/10/2025,"bagus bisa belajar sesuai apa yg kita mau belajar seperti bahasa inggris , korea dll."
Duolingo,AP RR,1,sebenernya suka sama aplikasinya tapi karena ini aplikasi support LGBT saya kasih bintang 1. SAYA MENERIMA PERBEDAAN BUKAN PENYIMPANGAN!!!!!,0,10/10/2025,sebenernya suka sama aplikasinya tapi karena ini aplikasi support lgbt saya kasih bintang 1. saya menerima perbedaan bukan penyimpangan!!!!!
Duolingo,Satriani Muslimin,5,baik dalam menambah wawasan,0,10/10/2025,baik dalam menambah wawasan
Duolingo,Ina silviani,5,SERUUUU,0,10/10/2025,seruuuu
Duolingo,miraaatn,5,Duolingo sangat amat seru dan juga saya senang memainkan Duolingo,0,10/10/2025,duolingo sangat amat seru dan juga saya senang memainkan duolingo
Duolingo,Arul Oji,5,ini sangat bagus dan menyenangkan,0,10/10/2025,ini sangat bagus dan menyenangkan
Duolingo,Miftah_ 021,5,Baguss bangedd,0,10/10/2025,baguss bangedd
Duolingo,Ulul Azmi,4,"mudah dimengerti, harus berlangganan",0,10/10/2025,"mudah dimengerti, harus berlangganan"
Duolingo,Pengguna Google,5,bagus banget,0,10/10/2025,bagus banget
Duolingo,Hervina Amelia,5,bagusss banget,0,10/10/2025,bagusss banget
